Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ120,660,666,STRAP W/ STRIPES,8,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|8|Anti-Shrinkage TM2|2
MAQ120,667,670,PRINTED RIBBON  PES,9,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON  PES|9|Sublimation TM3|0
MAQ120,671,677,PRINTED RIBBON,0,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|0|Anti-Shrinkage TM2|1
MAQ120,678,684,STRAP W/ STRIPES,7,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|7|Anti-Shrinkage TM2|2
MAQ120,686,692,STRAP W/ STRIPES,6,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|6|Anti-Shrinkage TM2|2
MAQ120,693,699,PRINTED RIBBON,21,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|21|Anti-Shrinkage TM2|1
MAQ120,700,703,PRINTED RIBBON,19,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|19|Sublimation TM3|0
MAQ120,704,710,STRAP W/ STRIPES,9,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|9|Anti-Shrinkage TM2|2
MAQ120,711,717,PRINTED RIBBON,13,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|13|Anti-Shrinkage TM2|1
MAQ120,718,721,PRINTED RIBBON,14,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|14|Sublimation TM3|0
MAQ120,723,726,PRINTED RIBBON,1,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|1|Sublimation TM3|0
MAQ120,727,733,PRINTED RIBBON,14,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|14|Anti-Shrinkage TM2|1
MAQ120,734,740,PRINTED RIBBON,1,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|1|Anti-Shrinkage TM2|1
MAQ120,741,747,PRINTED RIBBON,16,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|16|Anti-Shrinkage TM2|1
MAQ120,748,751,PRINTED RIBBON,3,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|3|Sublimation TM3|0
